599,100,373	666,276,359	35
247,103,654	666,74,1	26
442,108,548	666,163,1	24
418,103,620	666,285,1	14
346,100,711	666,284,1	21
708,102,344	666,292,1	38
341,100,712	666,331,1	13
302,100,710	666,82,1	16
441,107,564	666,173,359	17
443,108,547	666,168,1	24
419,100,638	666,273,1	32
341,100,712	666,270,1	22
553,109,426	666,171,1	25
531,107,470	666,233,1	20
528,106,465	666,43,1	16
497,112,491	666,230,1	32
378,100,683	666,144,1	24
432,106,589	666,226,1	31
558,109,464	666,320,1	24
308,100,716	666,146,1	20
448,114,587	666,255,1	25
549,112,470	666,326,1	40
302,100,720	666,120,1	22
483,117,596	666,128,1	30
529,112,503	666,314,1	24
1,-1,1	666,1,1	10
313,100,715	666,227,1	14
451,106,510	666,183,1	20
547,113,439	666,76,1	19
479,112,486	666,179,1	23
450,106,526	666,162,1	20
560,109,454	666,136,1	18
556,109,420	666,153,1	21
457,108,531	666,112,1	14
304,102,681	666,88,1	33
455,106,498	666,349,1	23
405,100,641	666,166,1	25
428,106,590	666,32,1	24
430,106,577	666,158,1	17
488,108,539	666,138,1	15
302,100,720	666,152,1	38
481,117,596	666,72,1	30
474,109,536	666,257,1	11
570,106,440	666,134,1	20
451,108,585	666,147,1	23
305,100,714	666,227,1	43
493,113,534	666,136,1	16
302,100,720	666,152,1	38
427,103,613	666,138,0	20
433,106,601	666,173,1	23
701,102,349	666,305,1	9
504,112,499	666,107,1	17
603,106,447	666,88,359	21
464,106,529	666,36,1	17
530,112,493	666,1,1	20
715,102,355	666,300,1	45
533,109,426	666,59,1	19
480,108,537	666,179,1	13
586,106,433	666,338,1	16
304,102,681	666,88,1	33
481,106,552	666,39,1	24
442,109,572	666,216,1	22
305,100,714	666,227,1	41
491,112,502	666,102,1	19
461,106,537	666,186,1	26
312,100,719	666,275,1	50
477,106,547	666,21,1	17
316,100,646	666,122,1	50
473,111,555	666,173,1	19
517,112,503	666,323,1	19
715,102,355	666,300,1	23
555,107,414	666,25,1	20
557,109,434	666,95,1	22
559,109,430	666,183,1	19
709,102,350	666,15,1	38
328,105,659	666,135,1	29
496,109,592	666,155,1	26
367,100,628	666,103,1	6
437,107,524	666,122,1	14
467,107,534	666,321,1	20
501,106,565	666,226,1	19
331,105,664	666,144,1	6
461,106,532	666,111,1	16
701,102,349	666,315,1	40
313,100,715	666,226,1	24
588,108,427	666,334,1	20
551,109,433	666,117,1	25
486,108,547	666,306,1	19
346,100,713	666,272,1	44
286,100,692	666,43,1	49
489,112,487	666,140,1	19
608,100,381	666,276,1	22
365,101,625	666,137,1	36
478,106,548	666,100,1	23
447,106,520	666,69,1	19
441,106,600	666,227,1	18
460,106,530	666,0,1	23
443,107,543	666,328,1	19
688,102,352	666,16,1	40
313,100,715	666,226,1	24
567,106,441	666,235,1	20
